ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
161936,Pandemic Legacy: Season 1,2015,1,8.67,8.49,18303,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/images/pic2452831_mt.png
182028,Through the Ages: A New Story of Civilization,2015,2,8.73,8.307,7468,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/images/pic2663291_mt.jpg
12333,Twilight Struggle,2005,3,8.36,8.22,27563,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/images/pic361592_mt.jpg
174430,Gloomhaven,2017,4,9.09,8.167,4109,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/images/pic2437871_mt.jpg
187645,Star Wars: Rebellion,2016,5,8.53,8.153,8853,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/images/pic2737530_mt.png
120677,Terra Mystica,2012,6,8.29,8.153,24460,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/images/pic1356616_mt.jpg
169786,Scythe,2016,7,8.32,8.087,16742,/boardgame/169786/scythe,https://cf.geekdo-images.com/images/pic3163924_mt.jpg
167791,Terraforming Mars,2016,8,8.39,8.078,10378,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/images/pic3536616_mt.jpg
173346,7 Wonders Duel,2015,9,8.19,8.022,21593,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/images/pic3376065_mt.jpg
102794,Caverna: The Cave Farmers,2013,10,8.18,8.006,17338,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/images/pic1790789_mt.jpg
84876,The Castles of Burgundy,2011,11,8.11,7.996,25636,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/images/pic1176894_mt.jpg
3076,Puerto Rico,2002,12,8.09,7.979,48457,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/images/pic158548_mt.jpg
115746,War of the Ring (Second Edition),2012,13,8.38,7.965,6538,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/images/pic1215633_mt.jpg
31260,Agricola,2007,14,8.05,7.959,48902,/boardgame/31260/agricola,https://cf.geekdo-images.com/images/pic259085_mt.jpg
96848,Mage Knight Board Game,2011,15,8.14,7.939,18570,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/images/pic1083380_mt.jpg
170216,Blood Rage,2015,16,8.15,7.923,14360,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/images/pic2439223_mt.jpg
25613,Through the Ages: A Story of Civilization,2006,17,8.08,7.921,15442,/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/images/pic236169_mt.jpg
164153,Star Wars: Imperial Assault,2014,18,8.2,7.89,11475,/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/images/pic2247647_mt.jpg
193738,Great Western Trail,2016,19,8.29,7.887,6044,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/images/pic3113247_mt.jpg
205059,Mansions of Madness: Second Edition,2016,20,8.3,7.865,6994,/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/images/pic3118622_mt.jpg
209010,Mechs vs. Minions,2016,21,8.37,7.861,5389,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/images/pic3184103_mt.jpg
2651,Power Grid,2004,22,7.94,7.86,42581,/boardgame/2651/power-grid,https://cf.geekdo-images.com/images/pic173153_mt.jpg
205637,Arkham Horror: The Card Game,2016,23,8.39,7.854,5885,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/images/pic3122349_mt.jpg
72125,Eclipse,2011,24,8.01,7.853,20597,/boardgame/72125/eclipse,https://cf.geekdo-images.com/images/pic1974056_mt.jpg
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,25,8.01,7.837,18559,/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/images/pic3165731_mt.jpg
175914,Food Chain Magnate,2015,26,8.29,7.83,5324,/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/images/pic2649434_mt.png
164928,Orléans,2014,27,8.08,7.816,8914,/boardgame/164928/orleans,https://cf.geekdo-images.com/images/pic2578828_mt.png
124742,Android: Netrunner,2012,28,7.99,7.813,20633,/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/images/pic1324609_mt.jpg
28720,Brass: Lancashire,2007,29,8.01,7.813,10803,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/images/pic3469216_mt.jpg
35677,Le Havre,2008,30,7.93,7.807,19190,/boardgame/35677/le-havre,https://cf.geekdo-images.com/images/pic3330230_mt.jpg
126163,Tzolk'in: The Mayan Calendar,2012,31,7.94,7.796,18215,/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/images/pic1413480_mt.jpg
178900,Codenames,2015,32,7.89,7.786,31162,/boardgame/178900/codenames,https://cf.geekdo-images.com/images/pic2582929_mt.jpg
183394,Viticulture Essential Edition,2015,33,8.18,7.781,5848,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/images/pic2649952_mt.jpg
146508,T.I.M.E Stories,2015,34,8.03,7.778,10906,/boardgame/146508/time-stories,https://cf.geekdo-images.com/images/pic2617634_mt.png
124361,Concordia,2013,35,7.99,7.766,10375,/boardgame/124361/concordia,https://cf.geekdo-images.com/images/pic3453267_mt.jpg
122515,Keyflower,2012,36,7.93,7.747,12073,/boardgame/122515/keyflower,https://cf.geekdo-images.com/images/pic2278942_mt.jpg
68448,7 Wonders,2010,37,7.83,7.745,52822,/boardgame/68448/7-wonders,https://cf.geekdo-images.com/images/pic860217_mt.jpg
171623,The Voyages of Marco Polo,2015,38,7.98,7.726,9386,/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/images/pic2461346_mt.png
18602,Caylus,2005,39,7.86,7.723,21996,/boardgame/18602/caylus,https://cf.geekdo-images.com/images/pic1638795_mt.jpg
177736,A Feast for Odin,2016,40,8.27,7.718,4285,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/images/pic3146943_mt.png
12493,Twilight Imperium (Third Edition),2005,41,7.92,7.705,15248,/boardgame/12493/twilight-imperium-third-edition,https://cf.geekdo-images.com/images/pic50404_mt.jpg
146021,Eldritch Horror,2013,42,7.94,7.704,16743,/boardgame/146021/eldritch-horror,https://cf.geekdo-images.com/images/pic1872452_mt.jpg
150376,Dead of Winter: A Crossroads Game,2014,43,7.85,7.703,23685,/boardgame/150376/dead-winter-crossroads-game,https://cf.geekdo-images.com/images/pic3016500_mt.jpg
163412,Patchwork,2014,44,7.82,7.692,19571,/boardgame/163412/patchwork,https://cf.geekdo-images.com/images/pic2270442_mt.jpg
28143,Race for the Galaxy,2007,45,7.77,7.684,34744,/boardgame/28143/race-galaxy,https://cf.geekdo-images.com/images/pic236327_mt.jpg
62219,Dominant Species,2010,46,7.86,7.684,13112,/boardgame/62219/dominant-species,https://cf.geekdo-images.com/images/pic784193_mt.jpg
157354,Five Tribes,2014,47,7.83,7.683,17909,/boardgame/157354/five-tribes,https://cf.geekdo-images.com/images/pic2055255_mt.jpg
110327,Lords of Waterdeep,2012,48,7.79,7.682,29647,/boardgame/110327/lords-waterdeep,https://cf.geekdo-images.com/images/pic1116080_mt.jpg
132531,Roll for the Galaxy,2014,49,7.84,7.681,14854,/boardgame/132531/roll-galaxy,https://cf.geekdo-images.com/images/pic1473629_mt.jpg
93,El Grande,1995,50,7.8,7.674,18639,/boardgame/93/el-grande,https://cf.geekdo-images.com/images/pic180538_mt.jpg
40834,Dominion: Intrigue,2009,51,7.79,7.666,23439,/boardgame/40834/dominion-intrigue,https://cf.geekdo-images.com/images/pic460011_mt.jpg
103885,Star Wars: X-Wing Miniatures Game,2012,52,7.87,7.66,17137,/boardgame/103885/star-wars-x-wing-miniatures-game,https://cf.geekdo-images.com/images/pic1603292_mt.jpg
159675,Fields of Arle,2014,53,8.21,7.64,3665,/boardgame/159675/fields-arle,https://cf.geekdo-images.com/images/pic2225968_mt.png
37111,Battlestar Galactica,2008,54,7.77,7.637,25679,/boardgame/37111/battlestar-galactica,https://cf.geekdo-images.com/images/pic354500_mt.jpg
36218,Dominion,2008,55,7.7,7.604,56824,/boardgame/36218/dominion,https://cf.geekdo-images.com/images/pic394356_mt.jpg
172386,Mombasa,2015,56,8.01,7.603,5185,/boardgame/172386/mombasa,https://cf.geekdo-images.com/images/pic2611318_mt.jpg
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,57,7.84,7.601,9283,/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,https://cf.geekdo-images.com/images/pic3514298_mt.jpg
144733,Russian Railroads,2013,58,7.83,7.596,9161,/boardgame/144733/russian-railroads,https://cf.geekdo-images.com/images/pic1772936_mt.jpg
102680,Trajan,2011,59,7.81,7.596,9877,/boardgame/102680/trajan,https://cf.geekdo-images.com/images/pic1054375_mt.jpg
42,Tigris & Euphrates,1997,60,7.72,7.591,20353,/boardgame/42/tigris-euphrates,https://cf.geekdo-images.com/images/pic2338267_mt.jpg
194655,Santorini,2016,61,8.04,7.587,5142,/boardgame/194655/santorini,https://cf.geekdo-images.com/images/pic3283110_mt.png
30549,Pandemic,2008,62,7.67,7.584,63815,/boardgame/30549/pandemic,https://cf.geekdo-images.com/images/pic1534148_mt.jpg
73439,Troyes,2010,63,7.76,7.579,11504,/boardgame/73439/troyes,https://cf.geekdo-images.com/images/pic750583_mt.jpg
521,Crokinole,1876,64,7.81,7.571,7783,/boardgame/521/crokinole,https://cf.geekdo-images.com/images/pic79413_mt.jpg
104162,Descent: Journeys in the Dark (Second Edition),2012,65,7.79,7.57,14931,/boardgame/104162/descent-journeys-dark-second-edition,https://cf.geekdo-images.com/images/pic1180640_mt.jpg
155426,Castles of Mad King Ludwig,2014,66,7.73,7.567,13632,/boardgame/155426/castles-mad-king-ludwig,https://cf.geekdo-images.com/images/pic1961827_mt.jpg
9609,War of the Ring (first edition),2004,67,7.81,7.555,8960,/boardgame/9609/war-ring-first-edition,https://cf.geekdo-images.com/images/pic725882_mt.jpg
128882,The Resistance: Avalon,2012,68,7.72,7.546,16376,/boardgame/128882/resistance-avalon,https://cf.geekdo-images.com/images/pic1398895_mt.jpg
155068,Arcadia Quest,2014,69,8,7.544,5205,/boardgame/155068/arcadia-quest,https://cf.geekdo-images.com/images/pic2305263_mt.jpg
127023,Kemet,2012,70,7.78,7.541,9504,/boardgame/127023/kemet,https://cf.geekdo-images.com/images/pic1431241_mt.jpg
103343,A Game of Thrones: The Board Game (Second Edition),2011,71,7.73,7.539,18158,/boardgame/103343/game-thrones-board-game-second-edition,https://cf.geekdo-images.com/images/pic1077906_mt.jpg
34635,Stone Age,2008,72,7.63,7.538,31008,/boardgame/34635/stone-age,https://cf.geekdo-images.com/images/pic1632539_mt.jpg
161970,Alchemists,2014,73,7.77,7.533,10157,/boardgame/161970/alchemists,https://cf.geekdo-images.com/images/pic2241156_mt.png
125153,The Gallerist,2015,74,8.05,7.524,3821,/boardgame/125153/gallerist,https://cf.geekdo-images.com/images/pic2503200_mt.png
146652,Legendary Encounters: An Alien Deck Building Game,2014,75,7.86,7.522,6647,/boardgame/146652/legendary-encounters-alien-deck-building-game,https://cf.geekdo-images.com/images/pic2225180_mt.jpg
70149,Ora et Labora,2011,76,7.78,7.52,7604,/boardgame/70149/ora-et-labora,https://cf.geekdo-images.com/images/pic1165426_mt.jpg
126042,Nations,2013,77,7.75,7.504,8295,/boardgame/126042/nations,https://cf.geekdo-images.com/images/pic1591406_mt.png
123260,Suburbia,2012,78,7.64,7.501,15125,/boardgame/123260/suburbia,https://cf.geekdo-images.com/images/pic1418335_mt.jpg
147020,Star Realms,2014,79,7.64,7.5,19289,/boardgame/147020/star-realms,https://cf.geekdo-images.com/images/pic1903816_mt.jpg
14105,Commands & Colors: Ancients,2006,80,7.8,7.496,6858,/boardgame/14105/commands-colors-ancients,https://cf.geekdo-images.com/images/pic132447_mt.jpg
201808,Clank!: A Deck-Building Adventure,2016,81,8.04,7.494,4252,/boardgame/201808/clank-deck-building-adventure,https://cf.geekdo-images.com/images/pic3056966_mt.jpg
175155,Forbidden Stars,2015,82,8.06,7.493,3938,/boardgame/175155/forbidden-stars,https://cf.geekdo-images.com/images/pic2471359_mt.jpg
17133,Railways of the World,2005,83,7.71,7.491,9481,/boardgame/17133/railways-world,https://cf.geekdo-images.com/images/pic445850_mt.jpg
91,Paths of Glory,1999,84,8.02,7.485,3631,/boardgame/91/paths-glory,https://cf.geekdo-images.com/images/pic834645_mt.jpg
14996,Ticket to Ride: Europe,2005,85,7.59,7.482,36308,/boardgame/14996/ticket-ride-europe,https://cf.geekdo-images.com/images/pic66668_mt.jpg
43111,Chaos in the Old World,2009,86,7.68,7.478,11353,/boardgame/43111/chaos-old-world,https://cf.geekdo-images.com/images/pic1318481_mt.jpg
21050,Combat Commander: Europe,2006,87,7.92,7.474,4395,/boardgame/21050/combat-commander-europe,https://cf.geekdo-images.com/images/pic992459_mt.jpg
39463,Cosmic Encounter,2008,88,7.61,7.463,19291,/boardgame/39463/cosmic-encounter,https://cf.geekdo-images.com/images/pic1521633_mt.jpg
148949,Istanbul,2014,89,7.63,7.463,12778,/boardgame/148949/istanbul,https://cf.geekdo-images.com/images/pic1885326_mt.jpg
27833,Steam,2009,90,7.68,7.45,8064,/boardgame/27833/steam,https://cf.geekdo-images.com/images/pic392515_mt.jpg
9216,Goa,2004,91,7.64,7.445,9678,/boardgame/9216/goa,https://cf.geekdo-images.com/images/pic1215969_mt.jpg
128621,Viticulture,2013,92,7.77,7.442,6224,/boardgame/128621/viticulture,https://cf.geekdo-images.com/images/pic2619743_mt.jpg
77423,The Lord of the Rings: The Card Game,2011,93,7.64,7.433,15052,/boardgame/77423/lord-rings-card-game,https://cf.geekdo-images.com/images/pic906495_mt.jpg
146886,La Granja,2014,94,7.8,7.433,4957,/boardgame/146886/la-granja,https://cf.geekdo-images.com/images/pic2031777_mt.jpg
4098,Age of Steam,2002,95,7.7,7.43,6768,/boardgame/4098/age-steam,https://cf.geekdo-images.com/images/pic429576_mt.jpg
555,The Princes of Florence,2000,96,7.59,7.429,13182,/boardgame/555/princes-florence,https://cf.geekdo-images.com/images/pic1306997_mt.jpg
148228,Splendor,2014,97,7.53,7.427,30581,/boardgame/148228/splendor,https://cf.geekdo-images.com/images/pic1904079_mt.jpg
43015,Hansa Teutonica,2009,98,7.64,7.425,8538,/boardgame/43015/hansa-teutonica,https://cf.geekdo-images.com/images/pic839090_mt.jpg
54043,Jaipur,2009,99,7.55,7.424,19041,/boardgame/54043/jaipur,https://cf.geekdo-images.com/images/pic725500_mt.jpg
104006,Village,2011,100,7.57,7.418,13992,/boardgame/104006/village,https://cf.geekdo-images.com/images/pic2760568_mt.jpg
176189,Zombicide: Black Plague,2015,101,7.94,7.417,5044,/boardgame/176189/zombicide-black-plague,https://cf.geekdo-images.com/images/pic2482309_mt.jpg
31627,Ticket to Ride: Nordic Countries,2007,102,7.67,7.414,8120,/boardgame/31627/ticket-ride-nordic-countries,https://cf.geekdo-images.com/images/pic369616_mt.jpg
215,Tichu,1991,103,7.61,7.411,10662,/boardgame/215/tichu,https://cf.geekdo-images.com/images/pic169494_mt.jpg
101721,Mage Wars Arena,2012,104,7.81,7.411,6072,/boardgame/101721/mage-wars-arena,https://cf.geekdo-images.com/images/pic2386027_mt.jpg
188,Go,2200,105,7.67,7.41,11632,/boardgame/188/go,https://cf.geekdo-images.com/images/pic1728832_mt.jpg
154203,Imperial Settlers,2014,106,7.58,7.403,12664,/boardgame/154203/imperial-settlers,https://cf.geekdo-images.com/images/pic2871265_mt.jpg
10630,Memoir '44,2004,107,7.53,7.392,19590,/boardgame/10630/memoir-44,https://cf.geekdo-images.com/images/pic43663_mt.jpg
9209,Ticket to Ride,2004,108,7.48,7.389,49080,/boardgame/9209/ticket-ride,https://cf.geekdo-images.com/images/pic38668_mt.jpg
129437,Legendary: A Marvel Deck Building Game,2012,109,7.63,7.388,12835,/boardgame/129437/legendary-marvel-deck-building-game,https://cf.geekdo-images.com/images/pic1430769_mt.jpg
234,Hannibal: Rome vs. Carthage,1996,110,7.83,7.383,4329,/boardgame/234/hannibal-rome-vs-carthage,https://cf.geekdo-images.com/images/pic706069_mt.jpg
171131,Captain Sonar,2016,111,7.83,7.381,4564,/boardgame/171131/captain-sonar,https://cf.geekdo-images.com/images/pic3013621_mt.png
20551,Shogun,2006,112,7.58,7.378,10564,/boardgame/20551/shogun,https://cf.geekdo-images.com/images/pic145843_mt.jpg
140620,Lewis & Clark,2013,113,7.59,7.376,8849,/boardgame/140620/lewis-clark,https://cf.geekdo-images.com/images/pic1902092_mt.jpg
93260,Summoner Wars: Master Set,2011,114,7.62,7.374,8763,/boardgame/93260/summoner-wars-master-set,https://cf.geekdo-images.com/images/pic923048_mt.jpg
31481,Galaxy Trucker,2007,115,7.48,7.372,20996,/boardgame/31481/galaxy-trucker,https://cf.geekdo-images.com/images/pic289193_mt.jpg
146439,BattleLore (Second Edition),2013,116,7.94,7.371,3605,/boardgame/146439/battlelore-second-edition,https://cf.geekdo-images.com/images/pic1854807_mt.jpg
