ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
174430,Gloomhaven,2017,1,8.82,8.566,37712,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/micro/img/sQyh47ClBO3d5sxPm73hMvM-JV4=/fit-in/64x64/filters:strip_icc()/pic2437871.jpg
161936,Pandemic Legacy: Season 1,2015,2,8.62,8.469,38805,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/micro/img/KbAKyhbG4qab4r-A_pBjUGvgal0=/fit-in/64x64/pic2452831.png
224517,Brass: Birmingham,2018,3,8.64,8.312,15201,/boardgame/224517/brass-birmingham,https://cf.geekdo-images.com/micro/img/9f34JRDD1AhxnD62n5aX0rIW_g0=/fit-in/64x64/pic3490053.jpg
167791,Terraforming Mars,2016,4,8.43,8.282,58361,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/micro/img/71v8jF5vZFBqE64QJ7S3UYtDAng=/fit-in/64x64/pic3536616.jpg
233078,Twilight Imperium (Fourth Edition),2017,5,8.69,8.22,11794,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/micro/img/D_wkWC_xeBStqd2Y4xXuUrDYpso=/fit-in/64x64/pic3727516.jpg
182028,Through the Ages: A New Story of Civilization,2015,6,8.45,8.208,21360,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/micro/img/APvZ_BYOt4ElpIXVl7i6wUp2BvM=/fit-in/64x64/pic2663291.jpg
187645,Star Wars: Rebellion,2016,7,8.42,8.161,21358,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/micro/img/AgmwMDLQBFrLlV7aLvkjfWjzLIY=/fit-in/64x64/pic4325841.jpg
220308,Gaia Project,2017,8,8.5,8.16,14557,/boardgame/220308/gaia-project,https://cf.geekdo-images.com/micro/img/odWj2bEnZi9dEcQQrOtYj1e0QLE=/fit-in/64x64/filters:strip_icc()/pic5375625.png
12333,Twilight Struggle,2005,9,8.3,8.144,39163,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/micro/img/ZlfJiIATIt5MY7xWSMzFmdygaa0=/fit-in/64x64/filters:strip_icc()/pic3530661.jpg
193738,Great Western Trail,2016,10,8.29,8.111,26814,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/micro/img/ZyNfyt5ymrWUmsudjtWnQ_H_hTI=/fit-in/64x64/pic4887376.jpg
169786,Scythe,2016,11,8.25,8.091,53207,/boardgame/169786/scythe,https://cf.geekdo-images.com/micro/img/Gqqd5c-C33zrLpoeb92cMxIF98s=/fit-in/64x64/pic3163924.jpg
115746,War of the Ring: Second Edition,2012,12,8.47,8.083,12619,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/micro/img/NT-Av_3kdYUcwuti5ocmIQXow3g=/fit-in/64x64/filters:strip_icc()/pic1215633.jpg
162886,Spirit Island,2017,13,8.32,8.06,21400,/boardgame/162886/spirit-island,https://cf.geekdo-images.com/micro/img/Q5Pf_6hKlCXkfbha60l68FUpX_4=/fit-in/64x64/pic3615739.png
84876,The Castles of Burgundy,2011,14,8.13,8.013,43945,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/micro/img/Qw22L5Wwe2q5BbvEct9dWws7MP4=/fit-in/64x64/pic1176894.jpg
120677,Terra Mystica,2012,15,8.16,8.003,37535,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/micro/img/SAwaBrDhHbGuq6dFY-ok95qFMcU=/fit-in/64x64/filters:strip_icc()/pic5375624.jpg
173346,7 Wonders Duel,2015,16,8.1,7.974,54251,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/micro/img/Qbt8Cjwt_skp-UKi5bDGxYTg45w=/fit-in/64x64/pic3376065.jpg
124361,Concordia,2013,17,8.12,7.959,26052,/boardgame/124361/concordia,https://cf.geekdo-images.com/micro/img/-o5nMvz9MGbYVnDDGh1_Xq7P84w=/fit-in/64x64/pic3453267.jpg
28720,Brass: Lancashire,2007,18,8.16,7.951,18320,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/micro/img/2b08fT5LMpZ1-Cs_1ajEB4maH5g=/fit-in/64x64/pic5482020.jpg
205637,Arkham Horror: The Card Game,2016,19,8.19,7.932,25559,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/micro/img/PDfjVra2DLzQpFj7dnATf81lSik=/fit-in/64x64/pic3122349.jpg
266192,Wingspan,2019,20,8.11,7.924,34103,/boardgame/266192/wingspan,https://cf.geekdo-images.com/micro/img/UemmFwMg3MJU6MuZNV37AVElLXI=/fit-in/64x64/pic4458123.jpg
183394,Viticulture Essential Edition,2015,21,8.1,7.914,26241,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/micro/img/L5giS2YYwyYZhAchWHSELlJ7U2U=/fit-in/64x64/pic2649952.jpg
177736,A Feast for Odin,2016,22,8.18,7.909,15688,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/micro/img/1V5da2Inidd8GOONuNsjDxj6Epw=/fit-in/64x64/pic3146943.png
164928,Orléans,2014,23,8.08,7.888,20433,/boardgame/164928/orleans,https://cf.geekdo-images.com/micro/img/EFMKhgiJOEON4d5NLvLDLnS2VyY=/fit-in/64x64/pic2578828.png
96848,Mage Knight Board Game,2011,24,8.1,7.887,26784,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/micro/img/6jDMTog_WxQPbEqRCyj6KtpIQ3w=/fit-in/64x64/pic1083380.jpg
180263,The 7th Continent,2017,25,8.24,7.882,15199,/boardgame/180263/7th-continent,https://cf.geekdo-images.com/micro/img/rHiQi_I26LD9shMiJH92q6VxcNY=/fit-in/64x64/pic2648303.jpg
