ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
161936,Pandemic Legacy: Season 1,2015,1,8.66,8.467,14952,/boardgame/161936/pandemic-legacy-season-1,//cf.geekdo-images.com/images/pic2452831_mt.png
182028,Through the Ages: A New Story of Civilization,2015,2,8.79,8.295,5789,/boardgame/182028/through-ages-new-story-civilization,//cf.geekdo-images.com/images/pic2663291_mt.jpg
12333,Twilight Struggle,2005,3,8.36,8.225,25976,/boardgame/12333/twilight-struggle,//cf.geekdo-images.com/images/pic361592_mt.jpg
120677,Terra Mystica,2012,4,8.3,8.151,22163,/boardgame/120677/terra-mystica,//cf.geekdo-images.com/images/pic1356616_mt.jpg
187645,Star Wars: Rebellion,2016,5,8.56,8.111,6648,/boardgame/187645/star-wars-rebellion,//cf.geekdo-images.com/images/pic2737530_mt.png
169786,Scythe,2016,6,8.37,8.077,11225,/boardgame/169786/scythe,//cf.geekdo-images.com/images/pic3163924_mt.jpg
173346,7 Wonders Duel,2015,7,8.21,8.025,16953,/boardgame/173346/7-wonders-duel,//cf.geekdo-images.com/images/pic3376065_mt.jpg
102794,Caverna: The Cave Farmers,2013,8,8.2,8.024,15663,/boardgame/102794/caverna-cave-farmers,//cf.geekdo-images.com/images/pic1790789_mt.jpg
84876,The Castles of Burgundy,2011,9,8.11,7.996,23450,/boardgame/84876/castles-burgundy,//cf.geekdo-images.com/images/pic1176894_mt.jpg
3076,Puerto Rico,2002,10,8.1,7.994,46505,/boardgame/3076/puerto-rico,//cf.geekdo-images.com/images/pic158548_mt.jpg
31260,Agricola,2007,11,8.07,7.976,46941,/boardgame/31260/agricola,//cf.geekdo-images.com/images/pic259085_mt.jpg
25613,Through the Ages: A Story of Civilization,2006,12,8.11,7.948,15117,/boardgame/25613/through-ages-story-civilization,//cf.geekdo-images.com/images/pic236169_mt.jpg
96848,Mage Knight Board Game,2011,13,8.14,7.945,17300,/boardgame/96848/mage-knight-board-game,//cf.geekdo-images.com/images/pic1083380_mt.jpg
170216,Blood Rage,2015,14,8.19,7.933,11180,/boardgame/170216/blood-rage,//cf.geekdo-images.com/images/pic2439223_mt.jpg
115746,War of the Ring (Second Edition),2012,15,8.36,7.933,5828,/boardgame/115746/war-ring-second-edition,//cf.geekdo-images.com/images/pic1215633_mt.jpg
164153,Star Wars: Imperial Assault,2014,16,8.24,7.924,10155,/boardgame/164153/star-wars-imperial-assault,//cf.geekdo-images.com/images/pic2247647_mt.jpg
2651,Power Grid,2004,17,7.95,7.874,40888,/boardgame/2651/power-grid,//cf.geekdo-images.com/images/pic173153_mt.jpg
72125,Eclipse,2011,18,8.03,7.872,19603,/boardgame/72125/eclipse,//cf.geekdo-images.com/images/pic1974056_mt.jpg
167791,Terraforming Mars,2016,19,8.36,7.862,5012,/boardgame/167791/terraforming-mars,//cf.geekdo-images.com/images/pic2891964_mt.jpg
124742,Android: Netrunner,2012,20,8.03,7.844,19594,/boardgame/124742/android-netrunner,//cf.geekdo-images.com/images/pic1324609_mt.jpg
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,21,8.02,7.842,16662,/boardgame/121921/robinson-crusoe-adventures-cursed-island,//cf.geekdo-images.com/images/pic3165731_mt.jpg
178900,Codenames,2015,22,7.95,7.837,26184,/boardgame/178900/codenames,//cf.geekdo-images.com/images/pic2582929_mt.jpg
35677,Le Havre,2008,23,7.94,7.819,18523,/boardgame/35677/le-havre,//cf.geekdo-images.com/images/pic447994_mt.jpg
28720,Brass,2007,24,8.01,7.812,10405,/boardgame/28720/brass,//cf.geekdo-images.com/images/pic261878_mt.jpg
146508,T.I.M.E Stories,2015,25,8.09,7.803,8495,/boardgame/146508/time-stories,//cf.geekdo-images.com/images/pic2617634_mt.png
126163,Tzolk'in: The Mayan Calendar,2012,26,7.95,7.799,16860,/boardgame/126163/tzolk-mayan-calendar,//cf.geekdo-images.com/images/pic1413480_mt.jpg
205059,Mansions of Madness: Second Edition,2016,27,8.36,7.782,4537,/boardgame/205059/mansions-madness-second-edition,//cf.geekdo-images.com/images/pic3118622_mt.jpg
164928,Orléans,2014,28,8.07,7.773,7258,/boardgame/164928/orleans,//cf.geekdo-images.com/images/pic2578828_mt.png
175914,Food Chain Magnate,2015,29,8.28,7.768,4185,/boardgame/175914/food-chain-magnate,//cf.geekdo-images.com/images/pic2649434_mt.png
209010,Mechs vs. Minions,2016,30,8.5,7.762,3201,/boardgame/209010/mechs-vs-minions,//cf.geekdo-images.com/images/pic3184103_mt.jpg
122515,Keyflower,2012,31,7.95,7.76,10984,/boardgame/122515/keyflower,//cf.geekdo-images.com/images/pic2278942_mt.jpg
68448,7 Wonders,2010,32,7.84,7.757,49355,/boardgame/68448/7-wonders,//cf.geekdo-images.com/images/pic860217_mt.jpg
150376,Dead of Winter: A Crossroads Game,2014,33,7.89,7.738,21109,/boardgame/150376/dead-winter-crossroads-game,//cf.geekdo-images.com/images/pic3016500_mt.jpg
18602,Caylus,2005,34,7.87,7.736,21429,/boardgame/18602/caylus,//cf.geekdo-images.com/images/pic1638795_mt.jpg
171623,The Voyages of Marco Polo,2015,35,8.01,7.736,8188,/boardgame/171623/voyages-marco-polo,//cf.geekdo-images.com/images/pic2461346_mt.png
124361,Concordia,2013,36,7.96,7.731,9105,/boardgame/124361/concordia,//cf.geekdo-images.com/images/pic1980675_mt.jpg
146021,Eldritch Horror,2013,37,7.95,7.719,15019,/boardgame/146021/eldritch-horror,//cf.geekdo-images.com/images/pic1872452_mt.jpg
12493,Twilight Imperium (Third Edition),2005,38,7.92,7.709,14525,/boardgame/12493/twilight-imperium-third-edition,//cf.geekdo-images.com/images/pic50404_mt.jpg
163412,Patchwork,2014,39,7.85,7.699,15940,/boardgame/163412/patchwork,//cf.geekdo-images.com/images/pic2270442_mt.jpg
62219,Dominant Species,2010,40,7.87,7.696,12539,/boardgame/62219/dominant-species,//cf.geekdo-images.com/images/pic784193_mt.jpg
132531,Roll for the Galaxy,2014,41,7.87,7.696,12904,/boardgame/132531/roll-galaxy,//cf.geekdo-images.com/images/pic1473629_mt.jpg
28143,Race for the Galaxy,2007,42,7.77,7.685,33368,/boardgame/28143/race-galaxy,//cf.geekdo-images.com/images/pic236327_mt.jpg
157354,Five Tribes,2014,43,7.84,7.684,15752,/boardgame/157354/five-tribes,//cf.geekdo-images.com/images/pic2055255_mt.jpg
93,El Grande,1995,44,7.81,7.684,18006,/boardgame/93/el-grande,//cf.geekdo-images.com/images/pic180538_mt.jpg
