ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
174430,Gloomhaven,2017,1,9.02,8.599,12324,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/8JYMPXdcBg_UHddwzq64H4NBduY=/fit-in/64x64/pic2437871.jpg
161936,Pandemic Legacy: Season 1,2015,2,8.67,8.504,24413,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/KbAKyhbG4qab4r-A_pBjUGvgal0=/fit-in/64x64/pic2452831.png
182028,Through the Ages: A New Story of Civilization,2015,3,8.65,8.322,11213,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/APvZ_BYOt4ElpIXVl7i6wUp2BvM=/fit-in/64x64/pic2663291.jpg
12333,Twilight Struggle,2005,4,8.35,8.204,30357,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/uStZr7_8Tbthswp3sya1c2o1cs0=/fit-in/64x64/pic361592.jpg
167791,Terraforming Mars,2016,5,8.38,8.188,22289,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/71v8jF5vZFBqE64QJ7S3UYtDAng=/fit-in/64x64/pic3536616.jpg
187645,Star Wars: Rebellion,2016,6,8.5,8.17,12307,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/KR1jw0e94sdGnSh2QmhtKbxD7Gg=/fit-in/64x64/pic2737530.png
120677,Terra Mystica,2012,7,8.26,8.111,28185,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/0jr3gj1GDwfhwW97jEGHzgQJsz4=/fit-in/64x64/pic1356616.jpg
169786,Scythe,2016,8,8.3,8.104,26236,/boardgame/169786/scythe,https://cf.geekdo-images.com/Gqqd5c-C33zrLpoeb92cMxIF98s=/fit-in/64x64/pic3163924.jpg
193738,Great Western Trail,2016,9,8.28,8.019,11772,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/NxP_qsKxBHNXSN11Zt75nv2oW_U=/fit-in/64x64/pic3113247.jpg
173346,7 Wonders Duel,2015,10,8.15,8.009,29615,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/Qbt8Cjwt_skp-UKi5bDGxYTg45w=/fit-in/64x64/pic3376065.jpg
84876,The Castles of Burgundy,2011,11,8.12,8.003,30009,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/Qw22L5Wwe2q5BbvEct9dWws7MP4=/fit-in/64x64/pic1176894.jpg
115746,War of the Ring (Second Edition),2012,12,8.39,7.982,7717,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/U_mWJ-Rwf-VaZ9DRvJMb4TvV7hM=/fit-in/64x64/pic1215633.jpg
102794,Caverna: The Cave Farmers,2013,13,8.13,7.966,20257,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/xrKeGLQ8OhvUiaZ2ctC4829RQzs=/fit-in/64x64/pic1790789.jpg
3076,Puerto Rico,2002,14,8.07,7.956,51775,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/ti5gCF_R-aSfg3uzg31b3lMUP9A=/fit-in/64x64/pic158548.jpg
31260,Agricola,2007,15,8.03,7.931,52348,/boardgame/31260/agricola,https://cf.geekdo-images.com/Snnyt1cOfe1N0_KKyMBHSpd6Xms=/fit-in/64x64/pic259085.jpg
96848,Mage Knight Board Game,2011,16,8.13,7.923,20861,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/6jDMTog_WxQPbEqRCyj6KtpIQ3w=/fit-in/64x64/pic1083380.jpg
205637,Arkham Horror: The Card Game,2016,17,8.28,7.903,10515,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/PDfjVra2DLzQpFj7dnATf81lSik=/fit-in/64x64/pic3122349.jpg
170216,Blood Rage,2015,18,8.1,7.9,19483,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/P2Hw9b5BDQNLRtNcqgr1zNYW-cw=/fit-in/64x64/pic2439223.jpg
205059,Mansions of Madness: Second Edition,2016,19,8.23,7.894,11175,/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/_CpxsrtrFi4YLVvlgHkQG4OkU2I=/fit-in/64x64/pic3118622.jpg
183394,Viticulture Essential Edition,2015,20,8.17,7.892,10319,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/L5giS2YYwyYZhAchWHSELlJ7U2U=/fit-in/64x64/pic2649952.jpg
209010,Mechs vs. Minions,2016,21,8.25,7.88,8499,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/PluLJId7M-9urByCb_VMyuiIh8o=/fit-in/64x64/pic3184103.jpg
25613,Through the Ages: A Story of Civilization,2006,22,8.05,7.869,16111,/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/1QK86CXz-ADCCIB_eSRCmr3Uws4=/fit-in/64x64/pic236169.jpg
164153,Star Wars: Imperial Assault,2014,23,8.15,7.866,13865,/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/63Sh2j1jrcw1Igy5AkZdL8CAGD4=/fit-in/64x64/pic2247647.jpg
124361,Concordia,2013,24,8.06,7.864,13937,/boardgame/124361/concordia,https://cf.geekdo-images.com/-o5nMvz9MGbYVnDDGh1_Xq7P84w=/fit-in/64x64/pic3453267.jpg
164928,Orléans,2014,25,8.08,7.847,11825,/boardgame/164928/orleans,https://cf.geekdo-images.com/EFMKhgiJOEON4d5NLvLDLnS2VyY=/fit-in/64x64/pic2578828.png
2651,Power Grid,2004,26,7.92,7.835,45745,/boardgame/2651/power-grid,https://cf.geekdo-images.com/hOqwekxToV2DC4zQiEkXBtKwSnI=/fit-in/64x64/pic173153.jpg
220308,Gaia Project,2017,27,8.74,7.821,3043,/boardgame/220308/gaia-project,https://cf.geekdo-images.com/Ifks_R9_4ObVmyHgN2j9lks-_8M=/fit-in/64x64/pic3763556.jpg
72125,Eclipse,2011,28,7.99,7.82,22223,/boardgame/72125/eclipse,https://cf.geekdo-images.com/HrGAtWyhYIvBbmSPELAkLswddEE=/fit-in/64x64/pic1974056.jpg
177736,A Feast for Odin,2016,29,8.21,7.809,7257,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/1V5da2Inidd8GOONuNsjDxj6Epw=/fit-in/64x64/pic3146943.png
175914,Food Chain Magnate,2015,30,8.21,7.807,6673,/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/CCu3tT9vVgKLM2AdF-CC-Vie9e8=/fit-in/64x64/pic2649434.png
55690,Kingdom Death: Monster,2015,31,8.96,7.793,4276,/boardgame/55690/kingdom-death-monster,https://cf.geekdo-images.com/0LbC6Oka8Lv0FZ0DQflCPLhJzNw=/fit-in/64x64/pic2931007.jpg
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,32,7.96,7.793,22140,/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/okpJX4eT2-Bw772w0e69fZFYxFY=/fit-in/64x64/pic3165731.jpg
28720,Brass: Lancashire,2007,33,8.01,7.788,11292,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/a-g2zj9lYhcXPnh0Ebq3QFwMRU0=/fit-in/64x64/pic3469216.jpg
35677,Le Havre,2008,34,7.92,7.784,20805,/boardgame/35677/le-havre,https://cf.geekdo-images.com/r_-SRWp3mhW7AbuyZtAXKspPf8Q=/fit-in/64x64/pic3330230.jpg
126163,Tzolk'in: The Mayan Calendar,2012,35,7.93,7.783,20614,/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/CvnpDupLiwOSNCGbJLk4wdoRSww=/fit-in/64x64/pic1413480.jpg
124742,Android: Netrunner,2012,36,7.94,7.752,22253,/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/XbmO8lpZjYE0RcDp-Xyf9xp8GtE=/fit-in/64x64/pic3738560.jpg
180263,The 7th Continent,2017,37,8.71,7.744,3558,/boardgame/180263/7th-continent,https://cf.geekdo-images.com/rHiQi_I26LD9shMiJH92q6VxcNY=/fit-in/64x64/pic2648303.jpg
221107,Pandemic Legacy: Season 2,2017,38,8.64,7.744,3006,/boardgame/221107/pandemic-legacy-season-2,https://cf.geekdo-images.com/1ET3ss7uiX8VumffL32Z76YWgx8=/fit-in/64x64/pic3763549.jpg
171623,The Voyages of Marco Polo,2015,39,7.97,7.738,11946,/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/D8lmO9H-rtq03Idsq3t2VuddVrw=/fit-in/64x64/pic2461346.png
68448,7 Wonders,2010,40,7.81,7.721,59415,/boardgame/68448/7-wonders,https://cf.geekdo-images.com/h-Ejv31TdN2d4KNPXwopv6w8pF0=/fit-in/64x64/pic860217.jpg
122515,Keyflower,2012,41,7.9,7.718,13715,/boardgame/122515/keyflower,https://cf.geekdo-images.com/PKp4Tospdm7g6mhvkTcAkS1DZf4=/fit-in/64x64/pic2278942.jpg
178900,Codenames,2015,42,7.81,7.718,39838,/boardgame/178900/codenames,https://cf.geekdo-images.com/3Ihe0IBw2D48rOjQHaGRkxAEnQo=/fit-in/64x64/pic2582929.jpg
146508,T.I.M.E Stories,2015,43,7.92,7.712,14814,/boardgame/146508/time-stories,https://cf.geekdo-images.com/O4_5v62RN0HAdudIRPyuCQwYzGs=/fit-in/64x64/pic2617634.png
18602,Caylus,2005,44,7.84,7.692,23153,/boardgame/18602/caylus,https://cf.geekdo-images.com/Nx8m7UPsqGYNWo3f3evh6Rn82TU=/fit-in/64x64/pic1638795.jpg
146021,Eldritch Horror,2013,45,7.92,7.69,19680,/boardgame/146021/eldritch-horror,https://cf.geekdo-images.com/AzYGKboFU4IpIjJ-OMLp-3yaMSs=/fit-in/64x64/pic1872452.jpg
