ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
174430,Gloomhaven,2017,1,9.03,8.595,12203,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/8JYMPXdcBg_UHddwzq64H4NBduY=/fit-in/64x64/pic2437871.jpg
161936,Pandemic Legacy: Season 1,2015,2,8.67,8.504,24361,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/KbAKyhbG4qab4r-A_pBjUGvgal0=/fit-in/64x64/pic2452831.png
182028,Through the Ages: A New Story of Civilization,2015,3,8.65,8.324,11181,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/APvZ_BYOt4ElpIXVl7i6wUp2BvM=/fit-in/64x64/pic2663291.jpg
12333,Twilight Struggle,2005,4,8.35,8.205,30331,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/uStZr7_8Tbthswp3sya1c2o1cs0=/fit-in/64x64/pic361592.jpg
167791,Terraforming Mars,2016,5,8.38,8.184,22196,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/71v8jF5vZFBqE64QJ7S3UYtDAng=/fit-in/64x64/pic3536616.jpg
187645,Star Wars: Rebellion,2016,6,8.5,8.168,12285,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/KR1jw0e94sdGnSh2QmhtKbxD7Gg=/fit-in/64x64/pic2737530.png
120677,Terra Mystica,2012,7,8.26,8.111,28151,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/0jr3gj1GDwfhwW97jEGHzgQJsz4=/fit-in/64x64/pic1356616.jpg
169786,Scythe,2016,8,8.3,8.099,26158,/boardgame/169786/scythe,https://cf.geekdo-images.com/Gqqd5c-C33zrLpoeb92cMxIF98s=/fit-in/64x64/pic3163924.jpg
193738,Great Western Trail,2016,9,8.28,8.016,11728,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/NxP_qsKxBHNXSN11Zt75nv2oW_U=/fit-in/64x64/pic3113247.jpg
173346,7 Wonders Duel,2015,10,8.15,8.008,29547,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/Qbt8Cjwt_skp-UKi5bDGxYTg45w=/fit-in/64x64/pic3376065.jpg
84876,The Castles of Burgundy,2011,11,8.12,8.002,29969,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/Qw22L5Wwe2q5BbvEct9dWws7MP4=/fit-in/64x64/pic1176894.jpg
115746,War of the Ring (Second Edition),2012,12,8.4,7.985,7704,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/U_mWJ-Rwf-VaZ9DRvJMb4TvV7hM=/fit-in/64x64/pic1215633.jpg
102794,Caverna: The Cave Farmers,2013,13,8.13,7.966,20235,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/xrKeGLQ8OhvUiaZ2ctC4829RQzs=/fit-in/64x64/pic1790789.jpg
3076,Puerto Rico,2002,14,8.07,7.957,51749,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/ti5gCF_R-aSfg3uzg31b3lMUP9A=/fit-in/64x64/pic158548.jpg
31260,Agricola,2007,15,8.03,7.931,52319,/boardgame/31260/agricola,https://cf.geekdo-images.com/Snnyt1cOfe1N0_KKyMBHSpd6Xms=/fit-in/64x64/pic259085.jpg
96848,Mage Knight Board Game,2011,16,8.13,7.923,20842,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/6jDMTog_WxQPbEqRCyj6KtpIQ3w=/fit-in/64x64/pic1083380.jpg
205637,Arkham Horror: The Card Game,2016,17,8.28,7.902,10484,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/PDfjVra2DLzQpFj7dnATf81lSik=/fit-in/64x64/pic3122349.jpg
170216,Blood Rage,2015,18,8.1,7.898,19436,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/P2Hw9b5BDQNLRtNcqgr1zNYW-cw=/fit-in/64x64/pic2439223.jpg
